Coin Name,Current Price,Estimated Price,Combined Gain %,ARIMA Gain %,XGBoost Gain %
DOGE,0.17,0.18,4.69,8.86,0.51
AVAX,18.06,18.64,3.17,5.34,1.0
XRP,2.16,2.18,0.63,0.7,0.56
SUI20947,2.81,2.82,0.55,0.59,0.51
ADA,0.6,0.6,0.33,-0.19,0.85
TON11419,2.92,2.93,0.27,-0.03,0.56
SOL,146.07,146.33,0.17,0.01,0.34
BNB,645.56,646.22,0.1,0.25,-0.04
TRX,0.27,0.27,-0.01,-0.08,0.06
BTC,105051.78,104993.22,-0.06,0.0,-0.11
ETH,2541.78,2530.53,-0.44,-0.48,-0.4
